call_id,caller_id,receiver_id,timestamp,duration_sec,tower_location_id,pattern_tag
C0044,P039,P082,2026-02-09 18:16:00,112,L002,background
C0045,P065,P103,2026-03-22 04:21:00,133,L009,background
C0046,P012,P131,2026-06-13 18:38:00,90,L004,background
C0047,P038,P043,2026-03-21 04:30:00,41,L013,background
C0048,P098,P051,2026-05-18 00:21:00,82,L007,background
C0049,P071,P025,2026-02-11 18:47:00,23,L006,background
C0050,P063,P062,2026-05-20 22:27:00,108,L004,background
C0051,P005,P122,2026-02-06 16:00:00,30,L015,background
C0052,P102,P058,2026-01-02 11:39:00,55,L014,background
C0053,P029,P035,2026-03-04 10:26:00,48,L004,background
C0054,P135,P013,2026-06-08 03:38:00,44,L017,background
C0055,P098,P011,2026-06-06 11:19:00,77,L004,background
C0056,P043,P141,2026-05-28 02:20:00,68,L013,background
C0057,P095,P024,2026-01-07 14:25:00,201,L017,background
C0058,P027,P029,2026-01-04 02:09:00,86,L005,background
C0059,P051,P005,2026-02-07 13:38:00,89,L007,background
C0060,P115,P046,2026-04-16 20:21:00,182,L001,background
C0061,P057,P098,2026-06-05 01:36:00,71,L008,background
C0062,P101,P036,2026-04-25 03:27:00,126,L019,background
C0063,P121,P145,2026-02-06 16:17:00,72,L016,background
C0064,P016,P128,2026-02-22 02:03:00,26,L008,background
C0065,P066,P127,2026-05-29 07:00:00,19,L005,background
C0066,P079,P041,2026-01-26 17:12:00,39,L006,background
C0067,P056,P030,2026-03-19 09:05:00,126,L016,background
C0068,P118,P145,2026-04-02 02:19:00,129,L003,background
C0069,P059,P052,2026-01-27 18:57:00,125,L016,background
C0070,P072,P090,2026-03-09 18:34:00,13,L014,background
C0071,P112,P044,2026-04-16 01:33:00,68,L002,background
C0072,P045,P015,2026-01-09 13:12:00,36,L014,background
C0073,P088,P032,2026-02-26 16:09:00,96,L006,background
C0074,P005,P140,2026-02-14 04:33:00,36,L014,background
C0075,P031,P094,2026-01-17 00:22:00,123,L011,background
C0076,P105,P058,2026-04-26 22:44:00,78,L015,background
C0077,P080,P021,2026-01-29 14:04:00,62,L018,background
C0078,P092,P114,2026-06-27 05:21:00,69,L020,background
C0079,P094,P146,2026-01-14 00:30:00,19,L007,background
C0080,P124,P091,2026-02-01 11:06:00,217,L010,background
C0081,P037,P133,2026-03-22 08:30:00,64,L019,background
C0082,P050,P089,2026-01-29 10:49:00,14,L005,background
C0083,P034,P092,2026-05-11 04:35:00,100,L003,background
C0084,P018,P140,2026-06-18 13:28:00,71,L015,background
C0085,P067,P117,2026-06-09 15:46:00,111,L012,background
C0086,P105,P035,2026-06-20 23:56:00,145,L004,background
C0087,P117,P098,2026-05-04 04:35:00,434,L019,background
C0088,P125,P011,2026-02-05 13:27:00,138,L015,background
C0089,P030,P006,2026-06-17 09:50:00,55,L010,background
C0090,P120,P145,2026-02-22 15:05:00,50,L016,background
C0091,P145,P052,2026-03-16 06:18:00,42,L006,background
C0092,P049,P135,2026-02-08 01:53:00,121,L008,background
C0093,P104,P022,2026-03-24 01:47:00,226,L009,background
C0094,P123,P033,2026-02-19 05:23:00,171,L012,background
C0095,P134,P023,2026-06-27 07:48:00,157,L020,background
C0096,P066,P111,2026-03-11 08:20:00,92,L009,background
C0097,P128,P041,2026-01-14 19:09:00,36,L011,background
C0098,P033,P065,2026-03-04 04:12:00,44,L009,background
C0099,P006,P066,2026-02-17 16:08:00,261,L013,background
C0100,P145,P083,2026-05-17 13:48:00,22,L014,background
C0101,P093,P132,2026-02-07 21:29:00,57,L009,background
C0102,P100,P006,2026-06-15 08:55:00,75,L017,background
C0103,P099,P128,2026-06-21 17:30:00,166,L008,background
C0104,P143,P084,2026-05-31 04:57:00,138,L008,background
C0105,P087,P107,2026-06-29 19:05:00,109,L008,background
C0106,P061,P140,2026-04-14 04:54:00,63,L001,background
C0107,P088,P102,2026-05-10 03:49:00,54,L017,background
C0108,P012,P082,2026-04-02 18:16:00,64,L003,background
C0109,P130,P013,2026-03-26 16:53:00,72,L016,background
C0110,P010,P119,2026-01-28 02:58:00,67,L012,background
C0111,P098,P149,2026-04-27 01:04:00,59,L005,background
C0112,P078,P005,2026-01-12 22:59:00,109,L009,background
C0113,P077,P045,2026-06-22 15:56:00,392,L017,background
C0114,P043,P074,2026-04-17 15:11:00,41,L010,background
C0115,P109,P036,2026-02-05 00:25:00,84,L009,background
C0116,P109,P066,2026-02-27 10:57:00,153,L020,background
C0117,P030,P096,2026-06-05 12:40:00,150,L006,background
C0118,P021,P072,2026-03-01 03:28:00,97,L020,background
C0119,P129,P025,2026-06-27 18:22:00,172,L016,background
C0120,P120,P106,2026-03-27 22:33:00,258,L013,background
C0121,P086,P139,2026-05-20 13:15:00,39,L009,background
C0122,P101,P078,2026-03-30 03:32:00,42,L013,background
C0123,P036,P080,2026-02-23 10:00:00,45,L011,background
C0124,P113,P114,2026-02-21 15:06:00,50,L011,background
C0125,P101,P103,2026-06-10 19:49:00,59,L010,background
C0126,P057,P009,2026-04-10 07:48:00,173,L015,background
C0127,P132,P105,2026-04-22 09:51:00,33,L003,background
C0128,P148,P073,2026-01-11 07:41:00,194,L006,background
C0129,P109,P119,2026-01-22 14:20:00,53,L010,background
C0130,P145,P150,2026-03-10 17:41:00,103,L011,background
C0131,P123,P078,2026-03-04 10:14:00,65,L019,background
C0132,P138,P095,2026-02-27 14:37:00,73,L001,background
C0133,P002,P128,2026-01-08 21:14:00,75,L020,background
C0134,P145,P046,2026-01-30 08:32:00,90,L014,background
C0135,P088,P054,2026-06-08 01:00:00,47,L006,background
C0136,P107,P028,2026-05-17 14:49:00,79,L006,background
C0137,P041,P092,2026-06-20 07:49:00,261,L012,background
C0138,P087,P077,2026-04-23 12:17:00,29,L001,background
C0139,P079,P054,2026-01-25 15:33:00,25,L012,background
C0140,P110,P150,2026-01-21 09:16:00,42,L010,background
C0141,P011,P025,2026-04-21 01:40:00,22,L001,background
C0142,P123,P074,2026-02-16 04:39:00,104,L004,background
C0143,P055,P111,2026-06-10 18:08:00,84,L017,background
C0144,P043,P044,2026-03-17 11:38:00,162,L016,background
C0145,P071,P138,2026-03-07 09:56:00,49,L014,background
C0146,P025,P074,2026-06-09 23:06:00,110,L001,background
C0147,P010,P086,2026-05-24 00:37:00,41,L001,background
C0148,P039,P011,2026-04-20 08:39:00,208,L018,background
C0149,P018,P117,2026-03-07 16:52:00,78,L005,background
C0150,P013,P099,2026-02-16 07:05:00,73,L006,background
C0151,P060,P150,2026-02-22 18:16:00,111,L020,background
C0152,P145,P036,2026-04-12 21:01:00,87,L017,background
C0153,P147,P135,2026-05-16 06:12:00,179,L010,background
C0154,P087,P091,2026-03-15 08:59:00,59,L008,background
C0155,P021,P126,2026-01-13 11:36:00,48,L003,background
C0156,P072,P055,2026-06-18 00:23:00,80,L016,background
C0157,P115,P002,2026-04-10 22:14:00,19,L015,background
C0158,P068,P081,2026-01-01 00:56:00,24,L017,background
C0159,P068,P125,2026-04-09 11:23:00,85,L003,background
C0160,P019,P058,2026-03-13 06:09:00,39,L003,background
C0161,P035,P140,2026-02-07 08:03:00,28,L019,background
C0162,P091,P112,2026-01-30 11:45:00,91,L002,background
C0163,P103,P077,2026-05-12 21:13:00,44,L009,background
C0164,P148,P019,2026-04-01 06:50:00,77,L003,background
C0165,P119,P045,2026-05-26 05:03:00,187,L017,background
C0166,P144,P132,2026-01-28 15:58:00,63,L010,background
C0167,P105,P091,2026-04-23 11:55:00,46,L005,background
C0168,P117,P077,2026-04-07 04:31:00,271,L013,background
C0169,P085,P074,2026-05-15 14:02:00,34,L009,background
C0170,P047,P066,2026-01-15 19:46:00,117,L013,background
C0171,P025,P082,2026-02-12 10:54:00,30,L005,background
C0172,P026,P098,2026-05-02 13:56:00,32,L002,background
C0173,P037,P146,2026-05-24 18:56:00,169,L005,background
C0174,P001,P026,2026-01-06 05:04:00,202,L015,background
C0175,P073,P126,2026-06-18 18:20:00,65,L013,background
C0176,P074,P010,2026-05-24 13:05:00,79,L004,background
C0177,P042,P118,2026-05-07 06:15:00,101,L013,background
C0178,P010,P128,2026-02-08 16:16:00,67,L013,background
C0179,P036,P007,2026-06-11 16:00:00,31,L003,background
C0180,P007,P138,2026-01-06 06:49:00,11,L020,background
C0181,P025,P149,2026-06-14 01:13:00,50,L008,background
C0182,P065,P041,2026-02-07 21:39:00,49,L013,background
C0183,P126,P079,2026-06-22 20:58:00,23,L012,background
C0184,P024,P085,2026-06-19 03:18:00,75,L011,background
C0185,P140,P112,2026-06-04 21:42:00,59,L005,background
C0186,P099,P137,2026-03-15 08:07:00,29,L014,background
C0187,P036,P056,2026-05-28 19:35:00,209,L003,background
C0188,P139,P113,2026-01-06 11:30:00,95,L014,background
C0189,P031,P022,2026-04-28 17:15:00,47,L015,background
C0190,P083,P085,2026-05-28 02:53:00,71,L010,background
C0191,P092,P038,2026-02-06 02:13:00,110,L020,background
C0192,P029,P130,2026-01-29 08:49:00,178,L003,background
C0193,P103,P118,2026-06-16 10:40:00,179,L016,background
C0194,P125,P105,2026-01-28 05:52:00,161,L012,background
C0195,P111,P082,2026-04-24 17:33:00,40,L013,background
C0196,P112,P129,2026-05-10 23:33:00,93,L006,background
C0197,P020,P131,2026-03-18 05:09:00,120,L014,background
C0198,P019,P066,2026-02-11 03:18:00,39,L019,background
C0199,P052,P078,2026-02-06 07:16:00,41,L002,background
C0200,P104,P049,2026-03-05 09:14:00,55,L015,background
C0201,P122,P083,2026-05-21 09:01:00,62,L003,background
C0202,P023,P146,2026-03-07 09:05:00,21,L003,background
C0203,P131,P085,2026-06-02 14:45:00,98,L012,background
C0204,P147,P142,2026-02-22 12:47:00,56,L006,background
C0205,P064,P011,2026-06-03 19:20:00,77,L018,background
C0206,P024,P047,2026-02-18 21:29:00,106,L018,background
C0207,P113,P065,2026-03-17 08:41:00,47,L016,background
C0208,P013,P133,2026-01-23 13:19:00,91,L012,background
C0209,P068,P129,2026-04-03 00:51:00,71,L007,background
C0210,P117,P019,2026-02-17 15:09:00,55,L006,background
C0211,P113,P057,2026-06-08 08:51:00,43,L007,background
C0212,P073,P138,2026-02-19 09:33:00,93,L005,background
C0213,P037,P029,2026-04-27 13:53:00,25,L001,background
C0214,P124,P003,2026-03-03 03:17:00,99,L018,background
C0215,P126,P091,2026-05-11 11:35:00,115,L014,background
C0216,P093,P035,2026-03-27 11:21:00,57,L020,background
C0217,P051,P121,2026-01-11 18:34:00,226,L019,background
C0218,P115,P102,2026-06-23 19:56:00,138,L019,background
C0219,P106,P037,2026-02-20 02:59:00,94,L002,background
C0220,P019,P045,2026-02-03 09:16:00,115,L002,background
C0221,P028,P041,2026-03-28 03:38:00,106,L007,background
C0222,P023,P003,2026-03-24 15:13:00,110,L010,background
C0223,P108,P048,2026-03-29 05:52:00,19,L005,background
C0224,P107,P133,2026-06-24 19:54:00,159,L009,background
C0225,P115,P035,2026-01-24 15:27:00,40,L012,background
C0226,P142,P104,2026-05-16 20:14:00,124,L018,background
C0227,P087,P008,2026-04-11 20:53:00,168,L020,background
C0228,P120,P038,2026-03-23 14:29:00,46,L011,background
C0229,P005,P040,2026-03-14 08:43:00,189,L020,background
C0230,P083,P114,2026-02-04 23:09:00,95,L009,background
C0231,P033,P042,2026-02-13 12:35:00,100,L019,background
C0232,P030,P027,2026-03-23 10:50:00,141,L005,background
C0233,P099,P004,2026-03-24 05:51:00,172,L007,background
C0234,P135,P027,2026-03-16 23:51:00,104,L005,background
C0235,P058,P014,2026-02-15 15:13:00,75,L003,background
C0236,P047,P092,2026-02-25 02:38:00,201,L019,background
C0237,P103,P118,2026-03-06 02:51:00,41,L005,background
C0238,P032,P115,2026-02-26 12:01:00,132,L010,background
C0239,P142,P064,2026-06-23 08:09:00,81,L016,background
C0240,P090,P135,2026-03-09 02:01:00,136,L013,background
C0241,P084,P087,2026-06-01 12:19:00,74,L007,background
C0242,P052,P012,2026-05-15 20:41:00,18,L002,background
C0243,P097,P002,2026-06-20 10:23:00,20,L017,background
C0244,P137,P006,2026-06-11 23:06:00,81,L004,background
C0245,P005,P075,2026-01-28 13:12:00,34,L007,background
C0246,P041,P123,2026-06-03 20:54:00,401,L008,background
C0247,P014,P045,2026-06-12 19:30:00,99,L019,background
C0248,P105,P014,2026-03-19 23:18:00,58,L003,background
C0249,P022,P143,2026-05-27 15:37:00,46,L009,background
C0250,P080,P134,2026-03-27 19:40:00,28,L009,background
C0251,P024,P091,2026-01-06 16:36:00,54,L013,background
C0252,P150,P028,2026-04-20 13:02:00,68,L010,background
C0253,P027,P108,2026-05-31 16:56:00,61,L019,background
C0254,P141,P051,2026-01-24 21:13:00,42,L011,background
C0255,P029,P005,2026-05-30 03:20:00,89,L011,background
C0256,P066,P060,2026-06-06 13:19:00,134,L002,background
C0257,P122,P036,2026-04-12 20:50:00,169,L002,background
C0258,P120,P144,2026-02-19 11:10:00,147,L020,background
C0259,P041,P103,2026-04-17 03:21:00,90,L001,background
C0260,P024,P095,2026-03-31 11:12:00,156,L019,background
C0261,P091,P033,2026-03-19 11:56:00,273,L007,background
C0262,P106,P086,2026-03-16 09:18:00,23,L007,background
C0263,P139,P046,2026-03-26 11:33:00,86,L020,background
C0264,P039,P079,2026-03-22 10:32:00,37,L004,background
C0265,P035,P029,2026-03-28 12:33:00,39,L010,background
C0266,P090,P119,2026-05-19 00:43:00,105,L010,background
C0267,P087,P081,2026-01-13 12:01:00,89,L015,background
C0268,P065,P016,2026-02-20 10:40:00,44,L003,background
C0269,P005,P142,2026-02-01 05:59:00,28,L004,background
C0270,P058,P056,2026-02-15 08:57:00,60,L013,background
C0271,P138,P010,2026-03-05 21:41:00,165,L010,background
C0272,P052,P141,2026-02-15 14:10:00,53,L012,background
C0273,P109,P044,2026-01-21 10:35:00,102,L014,background
C0274,P132,P017,2026-06-23 20:55:00,66,L001,background
C0275,P102,P135,2026-05-27 00:03:00,76,L005,background
C0276,P014,P001,2026-04-16 04:42:00,49,L012,background
C0277,P085,P016,2026-01-03 19:18:00,67,L003,background
C0278,P103,P014,2026-06-11 09:54:00,236,L007,background
C0279,P004,P063,2026-01-30 09:42:00,142,L003,background
C0280,P080,P034,2026-04-25 08:06:00,22,L012,background
C0281,P025,P085,2026-01-30 04:35:00,29,L013,background
C0282,P060,P030,2026-01-19 05:41:00,30,L010,background
C0283,P059,P114,2026-05-24 00:33:00,163,L006,background
C0284,P041,P148,2026-05-30 20:24:00,33,L004,background
C0285,P044,P072,2026-04-24 15:56:00,95,L010,background
C0286,P033,P114,2026-01-26 22:40:00,83,L001,background
C0287,P146,P051,2026-03-03 00:09:00,129,L007,background
C0288,P111,P083,2026-06-13 12:48:00,63,L015,background
C0289,P125,P029,2026-03-16 10:01:00,47,L020,background
C0290,P135,P044,2026-06-25 06:29:00,116,L007,background
C0291,P030,P047,2026-04-26 00:19:00,108,L006,background
C0292,P054,P027,2026-01-21 11:04:00,35,L013,background
C0293,P004,P069,2026-04-18 23:57:00,245,L005,background
C0294,P149,P083,2026-06-03 16:43:00,124,L015,background
C0295,P027,P016,2026-01-11 04:14:00,48,L002,background
C0296,P056,P062,2026-01-27 16:36:00,213,L010,background
C0297,P090,P122,2026-04-04 05:06:00,37,L015,background
C0298,P006,P095,2026-02-17 04:03:00,93,L002,background
C0299,P103,P077,2026-01-17 17:21:00,46,L013,background
C0300,P003,P076,2026-04-21 14:56:00,48,L007,background
C0301,P135,P104,2026-05-23 01:40:00,55,L002,background
C0302,P021,P119,2026-02-01 16:18:00,82,L020,background
C0303,P051,P008,2026-02-07 20:52:00,50,L002,background
C0304,P110,P147,2026-03-26 23:35:00,130,L017,background
C0305,P040,P009,2026-02-20 15:04:00,81,L004,background
C0306,P136,P112,2026-04-01 00:51:00,53,L005,background
C0307,P002,P001,2026-02-23 20:26:00,47,L016,background
C0308,P041,P069,2026-02-15 20:54:00,72,L017,background
C0309,P011,P080,2026-02-28 03:07:00,136,L012,background
C0310,P042,P127,2026-05-18 12:47:00,75,L007,background
C0311,P116,P063,2026-04-18 00:12:00,113,L006,background
C0312,P086,P067,2026-02-02 16:35:00,67,L008,background
C0313,P041,P069,2026-04-30 17:44:00,60,L010,background
C0314,P112,P056,2026-02-12 21:43:00,106,L005,background
C0315,P082,P070,2026-04-18 10:19:00,73,L001,background
C0316,P124,P015,2026-04-05 20:36:00,272,L017,background
C0317,P097,P126,2026-05-20 09:53:00,96,L016,background
C0318,P043,P147,2026-03-12 11:32:00,14,L011,background
C0319,P121,P137,2026-05-20 01:03:00,232,L001,background
C0320,P131,P067,2026-02-16 03:32:00,131,L018,background
C0321,P136,P134,2026-05-27 03:38:00,365,L015,background
C0322,P016,P060,2026-05-01 17:40:00,46,L005,background
C0323,P074,P116,2026-04-29 04:16:00,197,L016,background
C0324,P136,P095,2026-04-01 07:23:00,163,L006,background
C0325,P147,P031,2026-06-08 16:59:00,22,L004,background
C0326,P111,P067,2026-05-20 11:30:00,41,L008,background
C0327,P049,P106,2026-01-19 05:07:00,112,L009,background
C0328,P052,P146,2026-04-08 07:23:00,81,L002,background
C0329,P115,P125,2026-05-01 21:26:00,33,L019,background
C0330,P025,P127,2026-02-26 00:27:00,174,L008,background
C0331,P021,P049,2026-02-12 13:20:00,113,L009,background
C0332,P040,P084,2026-04-24 14:38:00,43,L008,background
C0333,P085,P095,2026-01-25 12:48:00,17,L007,background
C0334,P089,P027,2026-01-19 19:13:00,83,L005,background
C0335,P036,P005,2026-06-02 08:17:00,29,L009,background
C0336,P023,P070,2026-03-24 18:03:00,57,L011,background
C0337,P124,P020,2026-03-02 08:44:00,21,L002,background
C0338,P076,P107,2026-05-31 07:57:00,36,L018,background
C0339,P038,P048,2026-04-19 19:20:00,29,L006,background
C0340,P009,P109,2026-03-31 06:49:00,23,L002,background
C0341,P059,P133,2026-02-02 02:23:00,127,L017,background
C0342,P098,P068,2026-05-11 02:04:00,151,L019,background
C0343,P107,P071,2026-06-06 17:08:00,79,L008,background
C0344,P039,P044,2026-01-01 16:00:00,15,L017,background
C0345,P056,P094,2026-06-19 16:01:00,88,L017,background
C0346,P005,P093,2026-04-22 10:33:00,39,L007,background
C0347,P117,P126,2026-02-07 04:39:00,60,L020,background
C0348,P105,P099,2026-02-22 11:17:00,168,L005,background
C0349,P029,P110,2026-02-11 15:17:00,133,L014,background
C0350,P111,P008,2026-01-14 08:59:00,68,L005,background
C0351,P150,P084,2026-06-27 13:41:00,79,L001,background
C0352,P092,P060,2026-02-12 17:53:00,25,L008,background
C0353,P052,P138,2026-03-02 07:48:00,39,L011,background
C0354,P011,P145,2026-02-05 21:00:00,111,L018,background
C0355,P020,P128,2026-02-13 13:47:00,107,L004,background
C0356,P118,P120,2026-06-21 06:41:00,223,L015,background
C0357,P021,P097,2026-06-13 15:07:00,43,L011,background
C0358,P112,P008,2026-02-07 11:12:00,104,L018,background
C0359,P110,P097,2026-03-10 11:17:00,426,L006,background
C0360,P110,P032,2026-06-27 05:43:00,31,L013,background
C0361,P031,P081,2026-03-12 05:35:00,58,L001,background
C0362,P108,P148,2026-05-26 11:21:00,101,L004,background
C0363,P039,P096,2026-05-03 20:55:00,21,L018,background
C0364,P043,P022,2026-05-10 12:52:00,182,L018,background
C0365,P067,P012,2026-06-19 10:14:00,129,L013,background
C0366,P033,P014,2026-04-02 02:28:00,73,L015,background
C0367,P050,P048,2026-02-18 21:41:00,95,L017,background
C0368,P130,P016,2026-05-25 08:24:00,82,L011,background
C0369,P085,P141,2026-01-09 10:28:00,50,L008,background
C0370,P129,P124,2026-03-11 12:42:00,138,L002,background
C0371,P123,P128,2026-05-30 02:32:00,43,L002,background
C0372,P039,P085,2026-03-27 19:54:00,82,L018,background
C0373,P043,P051,2026-06-14 07:37:00,193,L019,background
C0374,P075,P090,2026-03-20 09:59:00,265,L013,background
C0375,P018,P100,2026-05-28 17:58:00,178,L005,background
C0376,P076,P117,2026-01-10 02:31:00,43,L012,background
C0377,P078,P059,2026-02-27 00:03:00,23,L004,background
C0378,P011,P120,2026-02-22 11:50:00,36,L009,background
C0379,P101,P027,2026-02-05 09:11:00,88,L009,background
C0380,P005,P046,2026-04-02 03:13:00,83,L003,background
C0381,P021,P007,2026-04-29 14:11:00,54,L013,background
C0382,P011,P057,2026-05-15 08:30:00,82,L011,background
C0383,P051,P096,2026-04-28 14:51:00,42,L016,background
C0384,P068,P089,2026-02-24 21:34:00,74,L004,background
C0385,P060,P015,2026-03-13 09:03:00,42,L010,background
C0386,P034,P001,2026-03-30 07:57:00,65,L020,background
C0387,P084,P118,2026-03-01 23:32:00,125,L012,background
C0388,P104,P141,2026-06-10 22:22:00,364,L001,background
C0389,P046,P086,2026-02-17 07:02:00,135,L001,background
C0390,P068,P050,2026-03-09 06:16:00,23,L012,background
C0391,P035,P129,2026-06-24 18:50:00,110,L014,background
C0392,P094,P080,2026-04-21 19:26:00,29,L001,background
C0393,P134,P082,2026-05-02 10:51:00,41,L017,background
C0394,P142,P045,2026-03-19 15:44:00,92,L005,background
C0395,P089,P145,2026-03-15 11:30:00,164,L014,background
C0396,P147,P060,2026-02-18 20:01:00,87,L011,background
C0397,P105,P116,2026-06-26 22:27:00,44,L014,background
C0398,P139,P115,2026-03-02 09:00:00,56,L016,background
C0399,P031,P055,2026-01-31 10:16:00,114,L013,background
C0400,P051,P089,2026-04-27 06:32:00,98,L014,background
C0401,P129,P057,2026-06-23 14:54:00,85,L015,background
C0402,P053,P128,2026-04-09 19:12:00,40,L018,background
C0403,P101,P055,2026-02-25 22:00:00,33,L004,background
C0404,P007,P144,2026-06-20 00:28:00,106,L006,background
C0405,P029,P145,2026-01-15 21:34:00,63,L008,background
C0406,P026,P007,2026-02-02 14:12:00,275,L015,background
C0407,P103,P122,2026-06-24 23:59:00,64,L014,background
C0408,P058,P097,2026-04-07 21:51:00,72,L010,background
C0409,P148,P099,2026-02-25 08:08:00,28,L017,background
C0410,P098,P037,2026-06-06 06:36:00,27,L013,background
C0411,P070,P028,2026-06-06 13:43:00,79,L012,background
C0412,P024,P058,2026-02-13 02:11:00,91,L005,background
C0413,P048,P123,2026-06-07 02:01:00,123,L012,background
C0414,P018,P134,2026-01-01 19:25:00,35,L012,background
C0415,P098,P022,2026-01-07 21:28:00,49,L019,background
C0416,P109,P094,2026-05-02 06:52:00,49,L019,background
C0417,P108,P131,2026-05-06 08:54:00,180,L009,background
C0418,P090,P014,2026-06-11 04:55:00,28,L010,background
C0419,P127,P115,2026-02-09 11:25:00,56,L009,background
C0420,P060,P121,2026-04-05 02:35:00,23,L008,background
C0421,P080,P032,2026-02-02 01:27:00,52,L011,background
C0422,P049,P088,2026-03-08 07:40:00,52,L017,background
C0423,P083,P145,2026-05-28 02:56:00,36,L007,background
C0424,P044,P078,2026-05-29 10:18:00,72,L016,background
C0425,P035,P110,2026-03-05 14:54:00,50,L014,background
C0426,P066,P032,2026-06-25 06:33:00,34,L003,background
C0427,P025,P019,2026-05-05 14:15:00,217,L017,background
C0428,P085,P134,2026-02-04 03:25:00,79,L004,background
C0429,P053,P063,2026-01-22 08:23:00,52,L003,background
C0430,P067,P023,2026-03-26 16:39:00,201,L015,background
C0431,P138,P027,2026-04-28 04:34:00,75,L005,background
C0432,P132,P134,2026-06-26 19:52:00,62,L008,background
C0433,P065,P079,2026-02-10 20:20:00,313,L001,background
C0434,P020,P077,2026-02-12 13:12:00,248,L005,background
C0435,P075,P077,2026-02-28 08:45:00,15,L006,background
C0436,P090,P044,2026-06-23 20:45:00,146,L019,background
C0437,P098,P092,2026-03-28 15:29:00,41,L014,background
C0438,P054,P036,2026-03-30 18:21:00,32,L002,background
C0439,P026,P121,2026-06-18 00:01:00,41,L015,background
C0440,P044,P094,2026-01-07 19:58:00,46,L016,background
C0441,P054,P077,2026-02-21 23:05:00,46,L004,background
C0442,P038,P094,2026-06-25 20:26:00,203,L013,background
C0443,P107,P010,2026-05-29 04:22:00,57,L003,background
C0444,P135,P031,2026-01-14 11:59:00,171,L015,background
C0445,P038,P122,2026-03-02 13:06:00,27,L014,background
C0446,P106,P107,2026-06-13 00:20:00,122,L019,background
C0447,P001,P006,2026-04-30 18:07:00,75,L002,background
C0448,P032,P051,2026-05-12 21:45:00,10,L018,background
C0449,P011,P121,2026-05-25 22:38:00,272,L009,background
C0450,P031,P014,2026-02-18 21:28:00,31,L004,background
C0451,P021,P004,2026-01-08 19:48:00,103,L014,background
C0452,P062,P041,2026-05-02 12:43:00,157,L010,background
C0453,P054,P081,2026-04-19 09:02:00,96,L008,background
C0454,P052,P026,2026-01-16 09:48:00,130,L015,background
C0455,P129,P103,2026-02-19 19:14:00,52,L019,background
C0456,P072,P150,2026-05-24 15:09:00,64,L020,background
C0457,P077,P082,2026-06-12 15:21:00,50,L011,background
C0458,P017,P012,2026-01-25 16:58:00,296,L012,background
C0459,P072,P037,2026-01-30 10:52:00,61,L005,background
C0460,P139,P073,2026-03-15 17:16:00,193,L005,background
C0461,P033,P070,2026-06-21 15:10:00,61,L010,background
C0462,P028,P007,2026-05-17 12:43:00,34,L001,background
C0463,P099,P045,2026-02-15 04:01:00,141,L014,background
C0464,P018,P006,2026-05-11 22:39:00,58,L015,background
