sighting_id,vehicle_id,location_id,timestamp,source
VS0079,V037,L015,2026-04-13 14:24:00,CCTV
VS0080,V038,L009,2026-03-10 00:06:00,CCTV
VS0081,V097,L003,2026-01-26 11:04:00,ANPR
VS0082,V077,L010,2026-02-26 23:21:00,Surveillance
VS0083,V045,L003,2026-04-30 17:41:00,CCTV
VS0084,V092,L002,2026-01-24 11:41:00,Surveillance
VS0085,V002,L014,2026-01-26 16:52:00,Surveillance
VS0086,V051,L012,2026-02-05 01:46:00,ANPR
VS0087,V097,L014,2026-05-27 15:38:00,ANPR
VS0088,V078,L014,2026-05-01 20:02:00,ANPR
VS0089,V018,L005,2026-02-20 02:43:00,ANPR
VS0090,V005,L007,2026-05-21 04:35:00,CCTV
VS0091,V075,L002,2026-03-31 15:48:00,CCTV
VS0092,V021,L008,2026-05-09 02:40:00,ANPR
VS0093,V089,L014,2026-02-15 22:24:00,Surveillance
VS0094,V063,L014,2026-03-22 17:44:00,ANPR
VS0095,V024,L010,2026-06-29 20:08:00,ANPR
VS0096,V039,L005,2026-01-19 11:50:00,CCTV
VS0097,V081,L003,2026-02-04 11:38:00,ANPR
VS0098,V047,L003,2026-03-28 17:10:00,Surveillance
VS0099,V058,L003,2026-04-17 04:09:00,ANPR
VS0100,V090,L008,2026-01-23 16:00:00,ANPR
VS0101,V078,L009,2026-01-05 17:51:00,CCTV
VS0102,V031,L006,2026-05-17 02:17:00,Surveillance
VS0103,V083,L002,2026-01-31 02:41:00,ANPR
VS0104,V007,L006,2026-01-30 23:40:00,ANPR
VS0105,V095,L017,2026-04-09 05:16:00,CCTV
VS0106,V100,L017,2026-01-10 05:33:00,ANPR
VS0107,V022,L015,2026-02-11 19:45:00,CCTV
VS0108,V037,L008,2026-02-19 19:46:00,CCTV
VS0109,V047,L019,2026-05-15 23:07:00,Surveillance
VS0110,V085,L015,2026-05-05 10:51:00,ANPR
VS0111,V072,L010,2026-02-03 15:48:00,CCTV
VS0112,V055,L019,2026-03-01 21:39:00,Surveillance
VS0113,V015,L012,2026-04-28 19:40:00,CCTV
VS0114,V045,L018,2026-06-13 20:36:00,CCTV
VS0115,V010,L017,2026-02-02 06:06:00,ANPR
VS0116,V004,L004,2026-06-11 00:30:00,ANPR
VS0117,V014,L001,2026-01-15 05:56:00,ANPR
VS0118,V015,L012,2026-06-11 21:03:00,CCTV
VS0119,V092,L005,2026-03-29 05:58:00,CCTV
VS0120,V090,L005,2026-02-04 08:35:00,Surveillance
VS0121,V052,L015,2026-01-12 15:52:00,Surveillance
VS0122,V087,L001,2026-04-23 18:23:00,Surveillance
VS0123,V081,L001,2026-01-19 20:32:00,ANPR
VS0124,V051,L010,2026-05-24 16:08:00,Surveillance
VS0125,V056,L006,2026-03-06 06:15:00,ANPR
VS0126,V011,L012,2026-03-12 13:28:00,ANPR
VS0127,V090,L017,2026-06-15 15:29:00,Surveillance
VS0128,V003,L005,2026-06-13 11:12:00,Surveillance
VS0129,V093,L017,2026-01-23 10:18:00,Surveillance
VS0130,V021,L005,2026-06-02 02:29:00,CCTV
VS0131,V094,L014,2026-03-05 00:40:00,CCTV
VS0132,V067,L012,2026-05-29 08:11:00,Surveillance
VS0133,V100,L005,2026-01-31 19:57:00,Surveillance
VS0134,V095,L005,2026-03-16 14:51:00,ANPR
VS0135,V097,L014,2026-06-27 10:37:00,CCTV
VS0136,V074,L006,2026-04-29 13:27:00,Surveillance
VS0137,V049,L006,2026-04-26 21:33:00,Surveillance
VS0138,V086,L018,2026-02-25 19:37:00,CCTV
VS0139,V100,L016,2026-02-10 21:14:00,Surveillance
VS0140,V052,L007,2026-02-06 15:22:00,CCTV
VS0141,V025,L006,2026-02-14 01:26:00,CCTV
VS0142,V046,L009,2026-05-01 17:06:00,Surveillance
VS0143,V052,L016,2026-03-31 14:15:00,CCTV
VS0144,V038,L007,2026-05-13 05:52:00,Surveillance
VS0145,V066,L016,2026-02-11 04:28:00,Surveillance
VS0146,V067,L001,2026-02-14 21:45:00,Surveillance
VS0147,V084,L012,2026-04-03 09:41:00,ANPR
VS0148,V020,L001,2026-01-12 23:00:00,CCTV
VS0149,V041,L003,2026-05-16 09:29:00,ANPR
VS0150,V100,L020,2026-01-12 14:45:00,ANPR
VS0151,V050,L016,2026-03-31 10:55:00,Surveillance
VS0152,V074,L017,2026-04-17 23:24:00,CCTV
VS0153,V089,L011,2026-04-23 00:04:00,ANPR
VS0154,V074,L009,2026-04-15 07:39:00,ANPR
VS0155,V064,L011,2026-02-11 12:14:00,Surveillance
VS0156,V084,L010,2026-01-10 20:12:00,ANPR
VS0157,V006,L010,2026-05-25 11:40:00,CCTV
VS0158,V038,L019,2026-03-04 23:33:00,Surveillance
VS0159,V019,L014,2026-02-18 23:01:00,Surveillance
VS0160,V066,L001,2026-01-29 10:12:00,CCTV
VS0161,V051,L016,2026-03-11 10:51:00,ANPR
VS0162,V073,L019,2026-03-30 01:58:00,Surveillance
VS0163,V021,L020,2026-03-09 03:42:00,Surveillance
VS0164,V057,L016,2026-03-19 09:46:00,Surveillance
VS0165,V043,L002,2026-05-07 01:21:00,CCTV
VS0166,V094,L016,2026-05-09 03:03:00,CCTV
VS0167,V070,L008,2026-03-03 12:13:00,ANPR
VS0168,V015,L018,2026-06-02 16:00:00,CCTV
VS0169,V011,L019,2026-01-24 20:39:00,ANPR
VS0170,V098,L020,2026-03-29 16:32:00,Surveillance
VS0171,V024,L019,2026-05-30 10:47:00,Surveillance
VS0172,V059,L014,2026-02-26 14:37:00,ANPR
VS0173,V039,L001,2026-05-18 06:45:00,CCTV
VS0174,V059,L010,2026-06-28 03:31:00,CCTV
VS0175,V072,L016,2026-06-12 06:02:00,ANPR
VS0176,V012,L014,2026-05-29 01:51:00,ANPR
VS0177,V049,L016,2026-01-05 16:45:00,ANPR
VS0178,V093,L020,2026-03-11 10:22:00,Surveillance
VS0179,V006,L003,2026-01-27 16:42:00,Surveillance
VS0180,V022,L017,2026-02-14 21:27:00,ANPR
VS0181,V084,L009,2026-04-17 03:50:00,ANPR
VS0182,V023,L010,2026-01-24 03:58:00,ANPR
VS0183,V045,L020,2026-06-22 14:50:00,CCTV
VS0184,V048,L013,2026-04-10 16:12:00,Surveillance
VS0185,V027,L015,2026-05-01 04:19:00,CCTV
VS0186,V100,L012,2026-03-17 15:49:00,CCTV
VS0187,V094,L004,2026-04-08 08:53:00,CCTV
VS0188,V007,L017,2026-05-08 09:45:00,CCTV
VS0189,V014,L004,2026-02-26 10:53:00,Surveillance
VS0190,V099,L002,2026-02-11 05:08:00,CCTV
VS0191,V057,L007,2026-06-12 23:43:00,CCTV
VS0192,V018,L013,2026-03-16 08:09:00,CCTV
VS0193,V086,L006,2026-03-02 05:13:00,Surveillance
VS0194,V002,L016,2026-04-05 00:59:00,Surveillance
VS0195,V049,L020,2026-03-22 19:09:00,Surveillance
VS0196,V083,L017,2026-03-06 05:08:00,CCTV
VS0197,V011,L017,2026-06-05 12:52:00,CCTV
VS0198,V095,L005,2026-03-20 20:13:00,Surveillance
VS0199,V006,L012,2026-02-22 20:43:00,Surveillance
VS0200,V015,L020,2026-04-01 09:08:00,CCTV
VS0201,V014,L019,2026-04-02 14:44:00,CCTV
VS0202,V069,L003,2026-06-21 13:16:00,ANPR
VS0203,V055,L010,2026-04-26 11:07:00,ANPR
VS0204,V064,L002,2026-01-14 05:20:00,Surveillance
VS0205,V081,L004,2026-02-12 00:18:00,CCTV
VS0206,V055,L002,2026-03-29 23:53:00,CCTV
VS0207,V051,L016,2026-01-23 13:44:00,Surveillance
VS0208,V054,L020,2026-01-26 01:46:00,ANPR
VS0209,V091,L020,2026-05-21 19:01:00,Surveillance
VS0210,V065,L004,2026-05-25 21:05:00,ANPR
VS0211,V072,L004,2026-03-22 03:13:00,ANPR
VS0212,V006,L012,2026-06-14 09:22:00,Surveillance
VS0213,V075,L015,2026-01-12 17:41:00,Surveillance
VS0214,V039,L017,2026-04-27 16:19:00,CCTV
VS0215,V065,L015,2026-04-01 04:15:00,Surveillance
VS0216,V037,L013,2026-01-07 00:51:00,CCTV
VS0217,V026,L005,2026-05-29 16:52:00,Surveillance
VS0218,V088,L015,2026-06-09 03:09:00,Surveillance
VS0219,V055,L003,2026-03-10 07:07:00,CCTV
VS0220,V080,L005,2026-01-02 11:19:00,ANPR
VS0221,V096,L015,2026-06-05 18:34:00,CCTV
VS0222,V081,L003,2026-02-16 13:19:00,Surveillance
VS0223,V083,L007,2026-01-04 06:08:00,ANPR
VS0224,V083,L015,2026-03-03 01:17:00,ANPR
VS0225,V062,L017,2026-05-16 19:56:00,ANPR
VS0226,V016,L006,2026-02-21 20:13:00,ANPR
VS0227,V007,L001,2026-06-03 21:29:00,Surveillance
VS0228,V058,L001,2026-02-16 19:41:00,ANPR
VS0229,V077,L010,2026-06-27 14:21:00,ANPR
VS0230,V070,L007,2026-02-03 00:49:00,Surveillance
VS0231,V039,L018,2026-04-01 15:17:00,CCTV
VS0232,V099,L012,2026-01-11 11:32:00,ANPR
VS0233,V039,L003,2026-01-05 00:23:00,ANPR
VS0234,V040,L012,2026-05-08 09:23:00,CCTV
VS0235,V075,L011,2026-02-04 02:04:00,Surveillance
VS0236,V061,L004,2026-03-09 15:33:00,Surveillance
VS0237,V060,L015,2026-01-21 23:02:00,ANPR
VS0238,V062,L003,2026-05-16 08:59:00,Surveillance
VS0239,V032,L003,2026-04-05 13:09:00,ANPR
VS0240,V076,L020,2026-03-16 09:44:00,Surveillance
VS0241,V100,L014,2026-02-12 17:25:00,Surveillance
VS0242,V027,L004,2026-05-19 13:55:00,CCTV
VS0243,V074,L012,2026-04-08 07:42:00,Surveillance
VS0244,V079,L010,2026-01-31 14:43:00,Surveillance
VS0245,V029,L005,2026-01-25 22:45:00,ANPR
VS0246,V044,L002,2026-01-14 12:16:00,ANPR
VS0247,V041,L005,2026-04-17 09:08:00,Surveillance
VS0248,V040,L006,2026-04-15 05:52:00,ANPR
VS0249,V094,L005,2026-06-16 03:38:00,Surveillance
VS0250,V057,L019,2026-04-27 18:57:00,CCTV
VS0251,V003,L013,2026-06-20 05:20:00,CCTV
VS0252,V045,L011,2026-01-10 13:20:00,Surveillance
VS0253,V080,L005,2026-02-10 03:50:00,Surveillance
VS0254,V030,L004,2026-03-03 14:03:00,CCTV
VS0255,V037,L019,2026-06-24 14:18:00,Surveillance
VS0256,V082,L005,2026-04-06 00:53:00,ANPR
VS0257,V058,L016,2026-03-21 16:44:00,ANPR
VS0258,V062,L003,2026-06-08 19:33:00,CCTV
VS0259,V022,L001,2026-04-13 18:13:00,Surveillance
VS0260,V023,L019,2026-06-06 04:45:00,ANPR
VS0261,V080,L011,2026-05-16 20:19:00,Surveillance
VS0262,V096,L009,2026-03-05 12:40:00,CCTV
VS0263,V008,L017,2026-04-13 16:08:00,ANPR
VS0264,V005,L018,2026-04-16 01:13:00,Surveillance
VS0265,V035,L019,2026-04-22 11:46:00,CCTV
VS0266,V028,L005,2026-05-21 00:30:00,CCTV
VS0267,V081,L008,2026-05-26 06:42:00,Surveillance
VS0268,V039,L014,2026-05-02 04:43:00,ANPR
VS0269,V084,L004,2026-02-03 03:42:00,CCTV
VS0270,V074,L015,2026-03-18 00:32:00,Surveillance
VS0271,V071,L019,2026-05-25 06:58:00,CCTV
VS0272,V016,L007,2026-02-07 12:14:00,ANPR
VS0273,V035,L005,2026-05-02 13:06:00,CCTV
VS0274,V016,L020,2026-01-07 11:18:00,ANPR
VS0275,V072,L013,2026-04-25 09:17:00,ANPR
VS0276,V097,L002,2026-06-12 04:36:00,CCTV
VS0277,V009,L014,2026-04-30 15:06:00,ANPR
VS0278,V091,L002,2026-01-28 02:58:00,ANPR
VS0279,V031,L003,2026-02-17 04:59:00,CCTV
VS0280,V023,L015,2026-04-09 03:56:00,CCTV
VS0281,V058,L008,2026-05-27 11:30:00,ANPR
VS0282,V059,L016,2026-02-09 01:21:00,CCTV
VS0283,V082,L019,2026-05-12 18:10:00,CCTV
VS0284,V071,L007,2026-02-27 12:00:00,CCTV
VS0285,V008,L007,2026-01-05 16:39:00,Surveillance
VS0286,V046,L001,2026-05-03 22:50:00,CCTV
VS0287,V034,L011,2026-01-06 19:04:00,Surveillance
VS0288,V002,L017,2026-06-12 01:03:00,Surveillance
VS0289,V025,L001,2026-03-06 21:44:00,Surveillance
VS0290,V092,L015,2026-01-29 20:09:00,Surveillance
VS0291,V046,L019,2026-04-16 01:43:00,Surveillance
VS0292,V045,L006,2026-04-11 09:06:00,ANPR
VS0293,V085,L002,2026-02-16 02:19:00,CCTV
VS0294,V073,L013,2026-01-28 16:46:00,CCTV
VS0295,V035,L016,2026-01-24 08:05:00,ANPR
VS0296,V033,L006,2026-04-29 04:22:00,ANPR
VS0297,V029,L005,2026-02-05 23:11:00,Surveillance
VS0298,V008,L016,2026-03-08 16:03:00,CCTV
VS0299,V050,L019,2026-06-19 20:49:00,CCTV
VS0300,V009,L004,2026-01-22 20:14:00,Surveillance
VS0301,V017,L001,2026-05-14 19:10:00,CCTV
VS0302,V017,L017,2026-05-20 09:45:00,CCTV
VS0303,V017,L013,2026-06-02 11:30:00,CCTV
